,Film,Year,index_column
0,The Paleface,1948,0
1,Panic in the Streets,1950,1
2,Papa's Delicate Condition,1963,2
3,The Patriot,1928/29,3
4,Penny Wisdom,1937,4
5,Phantom of the Opera,1943,5
6,The Philadelphia Story,1940,6
7,Picnic,1955,7
8,The Picture of Dorian Gray,1945,8
9,Pillow Talk,1959,9
10,The Pink Phink,1964,10
11,Pinocchio,1940,11
12,A Place in the Sun,1951,12
13,Plymouth Adventure,1952,13
14,Pollyanna,1960,14
15,Porgy and Bess,1959,15
16,Portrait of Jennie,1948,16
17,Prelude to War,1942,17
18,Pride and Prejudice,1940,18
19,The Pride of the Yankees,1942,19
20,Princess O'Rourke,1943,20
21,The Private Life of Henry VIII,1932/33,21
22,The Private Life of the Gannets,1937,22
23,Project Hope,1961,23
24,The Public Pays,1936,24
25,Pygmalion,1938,25
26,Quicker'n a Wink,1940,26
27,The Quiet Man,1952,27
28,Quiet Please!,1945,28
29,The Rains Came,1939,29
30,Rashomon,1951,30
31,The Razor's Edge,1946,31
32,Reap the Wild Wind,1942,32
33,Rebecca,1940,33
34,The Red Balloon (Le ballon rouge),1956,34
35,The Red Shoes,1948,35
36,The Robe,1953,36
37,Robert Frost: A Lover's Quarrel with the World,1963,37
38,Roman Holiday,1953,38
39,Room at the Top,1959,39
40,The Rose Tattoo,1955,40
41,Sabrina,1954,41
42,Samson and Delilah,1950,42
43,Samurai I: Musashi Miyamoto (Miyamoto Musashi),1955,43
44,San Francisco,1936,44
45,Sayonara,1957,45
46,The Scoundrel,1935,46
47,The Sea Around Us,1952,47
48,Seal Island,1948,48
49,The Search,1948,49
50,Seawards the Great Ships,1961,50
51,The Secret Land,1948,51
52,Seeds of Destiny,1946,52
53,Separate Tables,1958,53
54,Serengeti Shall Not Die (Serengeti darf nicht sterben),1959,54
55,Sergeant York,1941,55
56,Seven Brides for Seven Brothers,1954,56
57,Seven Days to Noon,1951,57
58,The Seventh Veil,1946,58
59,Shane,1953,59
60,Shanghai Express,1931/32,60
61,She Wore a Yellow Ribbon,1949,61
62,Shoeshine (Sciuscià),1947,62
63,The Silent World (Le Monde du silence),1956,63
64,The Sin of Madelon Claudet,1931/32,64
65,Since You Went Away,1944,65
66,Skippy,1930/31,66
67,Sky Above and Mud Beneath (Le Ciel et la boue),1961,67
68,The Snake Pit,1948,68
69,Snow White and the Seven Dwarfs,1937,69
70,So Much for So Little,1949,70
71,So This Is Harris!,1932/33,71
72,The Solid Gold Cadillac,1956,72
73,Some Like It Hot,1959,73
74,Somebody Up There Likes Me,1956,74
75,The Song of Bernadette,1943,75
76,Song of the South,1947,76
77,Song Without End,1960,77
78,Sons and Lovers,1960,78
79,Sons of Liberty,1939,79
80,South Pacific,1958,80
81,Spartacus,1960,81
82,Spawn of the North,1938,82
83,Speaking of Animals and Their Families,1942,83
84,Speedy Gonzales,1955,84
85,Spellbound,1945,85
86,Splendor in the Grass,1961,86
87,Stagecoach,1939,87
88,Stairway to Light,1945,88
89,Stalag 17,1953,89
90,Star in the Night,1945,90
91,A Star Is Born,1937,91
92,State Fair,1945,92
93,The Story of Louis Pasteur,1936,93
94,The Stratton Story,1949,94
95,Street Angel,1927/28,95
96,A Streetcar Named Desire,1951,96
97,Strike Up the Band,1940,97
98,The Substitute,1961,98
99,Sundays and Cybele (Le Dimanches de Ville d'Avray),1962,99
100,Sunrise,1927/28,100
101,Sunset Boulevard,1950,101
102,Survival City,1955,102
103,Suspicion,1941,103
104,Sweet Bird of Youth,1962,104
105,Sweethearts,1938,105
106,Swing Time,1936,106
107,Symphony of a City,1948,107
108,Tabu,1930/31,108
109,Target for Tonight,1941,109
110,"Teddy, the Rough Rider",1940,110
111,Tempest,1927/28,111
112,The Ten Commandments,1956,112
113,That Hamilton Woman,1941,113
114,That Mothers Might Live,1938,114
115,The Thief of Bagdad,1940,115
116,The Third Man,1950,116
117,Thirty Seconds Over Tokyo,1944,117
118,This Above All,1942,118
119,This Is the Army,1943,119
120,This Land Is Mine,1943,120
121,This Mechanical Age,1954,121
122,Three Coins in the Fountain,1954,122
123,The Three Faces of Eve,1957,123
124,Three Little Pigs,1932/33,124
125,Three Orphan Kittens,1935,125
126,Through a Glass Darkly (Såsom i en spegel),1961,126
127,Thunderball,1965,127
128,Thursday's Children,1954,128
129,The Time Machine,1960,129
130,A Time Out of War,1954,130
131,Tin Pan Alley,1940,131
132,The Titan: Story of Michelangelo,1950,132
133,Titanic,1953,133
134,To Catch a Thief,1955,134
135,To Each His Own,1946,135
136,To Kill a Mockingbird,1962,136
137,Tom Jones,1963,137
138,tom thumb,1958,138
139,"Toot, Whistle, Plunk and Boom",1953,139
140,Topkapi,1964,140
141,The Tortoise and the Hare,1934,141
142,Torture Money,1937,142
143,Toward Independence,1948,143
144,Transatlantic,1931/32,144
145,The Treasure of the Sierra Madre,1948,145
146,A Tree Grows in Brooklyn,1945,146
147,The True Glory,1945,147
148,The True Story of the Civil War,1956,148
149,Tweetie Pie,1947,149
150,Twelve O'Clock High,1949,150
151,Two Arabian Knights,1927/28,151
152,The Two Mouseketeers,1951,152
153,Two Women (La Ciociara),1961,153
154,The Ugly Duckling,1939,154
155,Underworld,1927/28,155
156,The V.I.P.s,1963,156
157,Vacation from Marriage (UK title Perfect Strangers),1946,157
